fromNode	toNode	weight	direction	fromAltName	toAltName
ABI3	ADAP2	0.0122607635716755	undirected	ABI3	ADAP2
ABI3	SCIMP	0.0117930746589884	undirected	ABI3	SCIMP
ABI3	CARD9	0.0112068329437969	undirected	ABI3	CARD9
ABI3	CD33	0.0102380408977562	undirected	ABI3	CD33
ABI3	CD86	0.0119220544964092	undirected	ABI3	CD86
ABI3	CD4	0.0189378932255908	undirected	ABI3	CD4
ABI3	ADA2	0.0124181410541555	undirected	ABI3	ADA2
ABI3	AGAP3	0.0127059471880211	undirected	ABI3	AGAP3
ABI3	CRTAP	0.0126380238993408	undirected	ABI3	CRTAP
ABI3	CSF1R	0.0110470729094855	undirected	ABI3	CSF1R
ABI3	CYFIP1	0.011721073233509	undirected	ABI3	CYFIP1
ABI3	DHRS4L2	0.0143279358560198	undirected	ABI3	DHRS4L2
ABI3	DOK2	0.017530779066448	undirected	ABI3	DOK2
ABI3	DPYSL2	0.0109702920078979	undirected	ABI3	DPYSL2
ABI3	HLA-DRA	0.0113385658067165	undirected	ABI3	HLA-DRA
ABI3	HLA-DRB3	0.0254795220613087	undirected	ABI3	HLA-DRB3
ABI3	HLA-DMB	0.0135614829056871	undirected	ABI3	HLA-DMB
ABI3	KLF11	0.0115539058041498	undirected	ABI3	KLF11
ABI3	KYNU	0.0114112652267744	undirected	ABI3	KYNU
ABI3	MTMR11	0.0139002885833023	undirected	ABI3	MTMR11
ABI3	NAGPA	0.0223072296831786	undirected	ABI3	NAGPA
ABI3	NUP93	0.010004153988923	undirected	ABI3	NUP93
ABI3	OAF	0.0147968904833017	undirected	ABI3	OAF
ABI3	P2RX4	0.010125053668516	undirected	ABI3	P2RX4
ABI3	PEPD	0.0119927831558361	undirected	ABI3	PEPD
ABI3	PEA15	0.0258315925743999	undirected	ABI3	PEA15
ABI3	SCRN1	0.0131650442255886	undirected	ABI3	SCRN1
ABI3	SELENON	0.0102464614648103	undirected	ABI3	SELENON
ABI3	SH3TC1	0.0114254877450434	undirected	ABI3	SH3TC1
ABI3	SLC2A6	0.0173480787733639	undirected	ABI3	SLC2A6
ABI3	TGFBI	0.0105849586783583	undirected	ABI3	TGFBI
ABI3	TMEM109	0.0188378163559869	undirected	ABI3	TMEM109
ACO1	CSF1R	0.0106615279076725	undirected	ACO1	CSF1R
ACO1	TGFBI	0.010397648474947	undirected	ACO1	TGFBI
ADAP2	ANXA2	0.0126794468070764	undirected	ADAP2	ANXA2
ADAP2	ASGR1	0.0143415723600409	undirected	ADAP2	ASGR1
