nodeName	altName	"nodeAttr[nodesPresent, ]"	hub
ABI3	ABI3	darkgrey	N
ACO1	ACO1	darkgrey	N
ADAP2	ADAP2	darkgrey	N
ALDH2	ALDH2	darkgrey	N
ANXA2	ANXA2	darkgrey	N
ASGR2	ASGR2	darkgrey	N
ASGR1	ASGR1	darkgrey	Y
SCIMP	SCIMP	darkgrey	N
EFCAB11	EFCAB11	darkgrey	N
C2CD2	C2CD2	darkgrey	N
NREP	NREP	darkgrey	N
XXYLT1	XXYLT1	darkgrey	N
CACNA2D4	CACNA2D4	darkgrey	N
CARD9	CARD9	darkgrey	N
CAMK1	CAMK1	darkgrey	N
CD36	CD36	darkgrey	N
CD33	CD33	darkgrey	N
CD86	CD86	darkgrey	Y
CD4	CD4	darkgrey	N
CD74	CD74	darkgrey	N
CCR2	CCR2	darkgrey	N
CD300C	CD300C	darkgrey	N
ADA2	ADA2	darkgrey	Y
AGAP3	AGAP3	darkgrey	N
CNDP2	CNDP2	darkgrey	N
CLCN6	CLCN6	darkgrey	N
CPVL	CPVL	darkgrey	N
CST3	CST3	darkgrey	N
CRTAP	CRTAP	darkgrey	N
CSF1R	CSF1R	darkgrey	Y
COQ10A	COQ10A	darkgrey	N
CYFIP1	CYFIP1	darkgrey	Y
DBNDD2	DBNDD2	darkgrey	N
CX3CR1	CX3CR1	darkgrey	N
CTSH	CTSH	darkgrey	N
DHRS4L2	DHRS4L2	darkgrey	N
DOK2	DOK2	darkgrey	N
DPYSL2	DPYSL2	darkgrey	Y
DLG4	DLG4	darkgrey	N
NIBAN2	NIBAN2	darkgrey	N
FBP1	FBP1	darkgrey	N
FGD2	FGD2	darkgrey	N
FCN1	FCN1	darkgrey	N
FZD2	FZD2	darkgrey	N
FUCA1	FUCA1	darkgrey	N
GPBAR1	GPBAR1	darkgrey	N
GPR162	GPR162	darkgrey	N
HLA-DRA	HLA-DRA	darkgrey	N
HLA-DRB3	HLA-DRB3	darkgrey	N
HLA-DRB4	HLA-DRB4	darkgrey	N
HLA-DMB	HLA-DMB	darkgrey	N
HLA-DMA	HLA-DMA	darkgrey	N
HLA-DPA1	HLA-DPA1	darkgrey	N
HNMT	HNMT	darkgrey	N
HVCN1	HVCN1	darkgrey	N
IRF8	IRF8	darkgrey	N
GSE1	GSE1	darkgrey	N
TMEM94	TMEM94	darkgrey	N
KLF11	KLF11	darkgrey	N
KYNU	KYNU	darkgrey	N
LILRB4	LILRB4	darkgrey	N
LIPA	LIPA	darkgrey	N
HLA-DQB1	HLA-DQB1	darkgrey	N
SLC37A2	SLC37A2	darkgrey	N
NRROS	NRROS	darkgrey	N
LY86	LY86	darkgrey	N
LTA4H	LTA4H	darkgrey	N
MAPKAPK3	MAPKAPK3	darkgrey	N
MARCO	MARCO	darkgrey	N
MGST2	MGST2	darkgrey	N
MPEG1	MPEG1	darkgrey	N
MS4A7	MS4A7	darkgrey	N
MS4A14	MS4A14	darkgrey	N
MTMR11	MTMR11	darkgrey	N
NAGA	NAGA	darkgrey	N
NAGPA	NAGPA	darkgrey	Y
NAAA	NAAA	darkgrey	N
NR1H3	NR1H3	darkgrey	N
NUP93	NUP93	darkgrey	N
OAF	OAF	darkgrey	N
NUP62	NUP62	darkgrey	N
P2RX7	P2RX7	darkgrey	N
P2RX4	P2RX4	darkgrey	N
PARP3	PARP3	darkgrey	N
PCSK5	PCSK5	darkgrey	N
PEPD	PEPD	darkgrey	N
PEA15	PEA15	darkgrey	Y
PLOD3	PLOD3	darkgrey	N
PLXNB2	PLXNB2	darkgrey	Y
PLEKHO1	PLEKHO1	darkgrey	N
RAB34	RAB34	darkgrey	N
RASSF4	RASSF4	darkgrey	N
RGS12	RGS12	darkgrey	N
RTN1	RTN1	darkgrey	N
RRAS	RRAS	darkgrey	N
S100A10	S100A10	darkgrey	N
SCRN1	SCRN1	darkgrey	N
SELENON	SELENON	darkgrey	N
SIDT2	SIDT2	darkgrey	N
SH3TC1	SH3TC1	darkgrey	N
SLC2A6	SLC2A6	darkgrey	N
SLITRK4	SLITRK4	darkgrey	N
SLC27A1	SLC27A1	darkgrey	N
SLC46A2	SLC46A2	darkgrey	N
SLC7A7	SLC7A7	darkgrey	N
SMAD3	SMAD3	darkgrey	N
SNX30	SNX30	darkgrey	N
SRC	SRC	darkgrey	N
STAB1	STAB1	darkgrey	N
TGFBI	TGFBI	darkgrey	Y
TMEM150A	TMEM150A	darkgrey	N
TMEM109	TMEM109	darkgrey	N
TNS3	TNS3	darkgrey	N
TTYH3	TTYH3	darkgrey	N
TSPAN4	TSPAN4	darkgrey	N
UBE2E2	UBE2E2	darkgrey	N
UBXN11	UBXN11	darkgrey	N
VCAN	VCAN	darkgrey	N
VPS45	VPS45	darkgrey	N
VENTX	VENTX	darkgrey	N
ZFHX3	ZFHX3	darkgrey	N
ZNF385A	ZNF385A	darkgrey	N
